specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,red shift,red shift error,flux,g sn,r sn,i sn,central wavelength
501145886491961344,GALAXY                   ,128.55992,50.87295,445,128.559949038994,50.8729842215993,1237651252021952663,1345,301,5,150,0.09616763,51873,438,26,[3.5814 3.5815 3.5816 ... 3.9645 3.9646 3.9647],[ 6.243984   9.251638  10.86709   ...  3.9451013  8.733191  13.521556 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501146711125682176,GALAXY                   ,129.9065,51.910602,445,129.906549094348,51.9105885281998,1237651252022542562,1345,301,5,159,0.1362429,51873,441,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 3.9116464  2.120273  12.458093  ...  6.970528   7.7952094  7.988256 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501146986003589120,GALAXY                   ,129.71608,51.959149,445,129.716080413179,51.9591574849976,1237651192431509599,1331,301,6,184,0.124792,51873,442,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[-2.0474455  3.3514044  2.546151  ... 14.683126  12.604499  12.873591 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501147260881496064,GALAXY                   ,129.49437,51.855775,445,129.49438601564,51.8557365750728,1237651192431378625,1331,301,6,182,0.1685558,51873,443,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],"[ 7.174174    7.721486    0.04043481 ... 10.54753    10.501002
 12.06658   ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501147535759403008,GALAXY                   ,129.6132,51.83985,445,129.613240893337,51.8398404064575,1237651252022477091,1345,301,5,158,0.09762031,51873,444,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[8.35111   6.4822607 1.7350566 ... 4.4322205 6.1667113 1.7375377],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501147810637309952,GALAXY                   ,129.59753,51.958703,445,129.597572171363,51.9587332413791,1237651271350354170,1350,301,1,166,0.1181645,51873,445,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[6.108681  6.859731  6.5002275 ... 4.6431556 4.708431  6.305783 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501148085515216896,GALAXY                   ,129.55283,51.923799,445,129.552850935644,51.9237837844071,1237651271350288538,1350,301,1,165,0.1154397,51873,446,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[10.28409    0.6040729 -4.0560727 ... 17.330368  17.22759   14.257978 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501148360393123840,GALAXY                   ,129.85821,51.687571,445,129.858231278606,51.6875323877929,1237651191894573189,1331,301,5,183,0.05452101,51873,447,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 37.87094   37.56335   25.968987 ... 115.039604 114.82933  106.93094 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501148635271030784,QSO                      ,129.93013,51.803064,445,129.930189572389,51.8030604176655,1237651252022542355,1345,301,5,159,1.113435,51873,448,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[13.371245  15.111345  18.947302  ...  3.1191921  5.5995097  1.9955201],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501148910148937728,GALAXY                   ,129.8709,51.892661,445,129.870979510637,51.8926347070958,1237651252022542418,1345,301,5,159,0.1361541,51873,449,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[ 0.6225044  2.9789822  8.622044  ... 20.996723  20.181934  19.223589 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
